no,agency,corp_name,year,designation_type,industry,ghg_tco2eq,energy_tj,verifier,remark
1,환경부,(유)남해환경,2022,사업장,폐기물,30113.0,154.0,(재)한국품질재단,
2,환경부,(유)에스케이씨에보닉페록사이드코리아,2022,사업장,기초 화학물질 제조업,52658.0,1078.0,(재)한국품질재단,
3,환경부,(유)청명,2022,사업장,폐기물,13696.0,277.0,㈜한국품질보증원,
4,국토교통부,(유)호남고속,2022,사업장,교통(여객),20519.0,322.0,(주)한국경영인증원,
5,환경부,(주)HJ매그놀리아용평호텔앤리조트,2022,사업장,일반 및 생활 숙박시설 운영업,36552.0,727.0,(재)한국품질재단,
6,환경부,(주)MSC,2022,사업장,기타 식품 제조업,30048.0,605.0,한국가스안전공사,
7,환경부,(주)SIMPAC,2022,업체,1차 철강 제조업,486938.0,5248.0,한국표준협회,
8,환경부,(주)SUN&L,2022,사업장,나무제품 제조업,65550.0,2349.0,한국표준협회,
9,환경부,(주)강원랜드,2022,사업장,유원지 및 기타 오락관련 서비스업,75553.0,1535.0,한국표준협회,
10,환경부,(주)건화,2022,사업장,선박 및 보트 건조업,39862.0,726.0,한국표준협회,
11,환경부,(주)경기고속,2022,업체,육상 여객 운송업,101864.0,1630.0,(주)한국경영인증원,
12,환경부,(주)경동,2022,업체,석탄 광업,209706.0,402.0,(재)한국품질재단,
13,산업통상자원부,(주)경동원,2022,사업장,기계,8856.0,175.0,한국표준협회,
14,산업통상자원부,(주)경보제약,2022,사업장,석유화학,12237.0,277.0,한국표준협회,
15,환경부,(주)경북고속,2022,사업장,육상 여객 운송업,23197.0,329.0,(주)한국경영인증원,
16,산업통상자원부,(주)경신전선,2022,사업장,전기전자,15977.0,330.0,한국표준협회,
17,산업통상자원부,(주)국일방적 정읍공장,2022,사업장,섬유,9724.0,202.0,대일이엔씨기술(주),
18,환경부,(주)그린스코,2022,사업장,폐기물 처리업,41826.0,109.0,(주)한국경영인증원,
19,환경부,(주)그린환경기술,2022,업체,폐기물,62316.0,350.0,(재)한국품질재단,
20,환경부,(주)금남고속,2022,사업장,육상 여객 운송업,20289.0,289.0,(주)한국경영인증원,
21,환경부,(주)금비,2022,사업장,유리 및 유리제품 제조업,79965.0,1176.0,한국표준협회,
22,해양수산부,(주)남해고속,2022,사업장,교통(해운),24721.0,352.0,한국표준협회,
23,산업통상자원부,(주)네오오토,2022,사업장,자동차,17045.0,353.0,(주)한국경영인증원,
24,산업통상자원부,(주)네패스,2022,사업장,반도체,17833.0,368.0,(주)비에스아이그룹코리아,
25,산업통상자원부,(주)넥센,2022,사업장,석유화학,18924.0,384.0,한국표준협회,
26,환경부,(주)농협물류,2022,사업장,도로 화물 운송업,29867.0,431.0,한국표준협회,
27,농림축산식품부,(주)농협사료,2022,업체,식료품 제조업,87744.0,1813.0,(재)한국품질재단,
28,환경부,(주)다나에너지솔루션,2022,사업장,폐기물,71491.0,201.0,(재)한국품질재단,
29,환경부,(주)단석산업,2022,사업장,1차 비철금속 제조업,83951.0,1693.0,한국표준협회,
30,산업통상자원부,(주)대농,2022,사업장,섬유,14914.0,311.0,지속가능인증원주식회사,
31,환경부,(주)대동세라믹,2022,사업장,"내화, 비내화 요업제품 제조업",35492.0,636.0,(주)한국경영인증원,
32,환경부,(주)대림제지,2022,사업장,"펄프, 종이 및 판지 제조업",109108.0,1736.0,(재)한국품질재단,
33,산업통상자원부,(주)대양금속,2022,사업장,기계,19331.0,383.0,(재)한국품질재단,
34,국토교통부,(주)대우건설,2022,업체,건설,59231.0,1211.0,한국표준협회,
35,산업통상자원부,(주)대욱케스트,2022,사업장,철강,19299.0,362.0,(주)한국경영인증원,
36,환경부,(주)대원고속,2022,업체,육상 여객 운송업,106278.0,1702.0,(주)한국경영인증원,
37,환경부,(주)대원버스,2022,사업장,육상 여객 운송업,30928.0,528.0,(주)한국경영인증원,
38,국토교통부,(주)대원여객,2022,사업장,교통(여객),17527.0,333.0,(주)한국경영인증원,
39,환경부,(주)대원운수,2022,사업장,육상 여객 운송업,35399.0,588.0,(주)한국경영인증원,
40,환경부,(주)대유코아,2022,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",116079.0,763.0,한국표준협회,
41,해양수산부,(주)대저해운,2022,사업장,교통(해운),5174.0,75.0,한국표준협회,
42,산업통상자원부,(주)대천텍스타일,2022,사업장,섬유,17171.0,255.0,한국표준협회,
43,산업통상자원부,(주)대호특수강,2022,사업장,철강,22872.0,423.0,한국표준협회,
44,환경부,(주)대화제지,2022,사업장,"펄프, 종이 및 판지 제조업",18760.0,379.0,㈜한국품질보증원,
45,환경부,(주)동남,2022,사업장,1차 비철금속 제조업,52621.0,818.0,한국표준협회,
46,환경부,(주)동방,2022,사업장,도로 화물 운송업,57159.0,834.0,대일이엔씨기술(주),
47,환경부,(주)동서기공,2022,사업장,자동차 신품 부품 제조업,38752.0,800.0,(주)한국경영인증원,
48,환경부,(주)동신포리마,2022,사업장,플라스틱 제품 제조업,37727.0,778.0,(주)한국경영인증원,
49,환경부,(주)동양고속,2022,사업장,육상 여객 운송업,52142.0,746.0,(주)한국경영인증원,
50,환경부,(주)동양환경,2022,업체,폐기물 처리업,217891.0,763.0,(재)한국품질재단,
51,농림축산식품부,(주)동우팜투테이블,2022,사업장,식료품 제조업,15579.0,314.0,(재)한국화학융합시험연구원,
52,농림축산식품부,(주)동원F&B,2022,업체,식료품 제조업,81931.0,1796.0,(주)한국경영인증원,
53,산업통상자원부,(주)동진쎄미켐,2022,사업장,석유화학,22446.0,452.0,한국가스안전공사,
54,산업통상자원부,(주)두산,2022,업체,전기전자,61531.0,1190.0,(재)한국품질재단,
55,산업통상자원부,(주)두산테스나,2022,사업장,반도체,23541.0,491.0,(재)한국품질재단,
56,산업통상자원부,(주)디알액시온,2022,사업장,비철금속,14736.0,300.0,(재)한국품질재단,
57,환경부,(주)디에이피,2022,사업장,전자 부품 제조업,76683.0,1591.0,한국가스안전공사,
58,산업통상자원부,(주)디케이씨,2022,사업장,철강,19159.0,385.0,한국표준협회,
59,산업통상자원부,(주)로옴코리아,2022,사업장,반도체,17438.0,364.0,㈜한국품질보증원,
60,농림축산식품부,(주)면사랑,2022,사업장,식료품 제조업,21309.0,474.0,한국표준협회,
61,환경부,(주)모나리자,2022,사업장,"펄프, 종이 및 판지 제조업",41008.0,782.0,(주)한국경영인증원,
62,환경부,(주)미래페이퍼,2022,사업장,"펄프, 종이 및 판지 제조업",62138.0,794.0,한국표준협회,
63,산업통상자원부,(주)방림,2022,사업장,섬유,22528.0,339.0,한국표준협회,
