no,agency,corp_name,year,designation_type,industry,ghg_tco2eq,energy_tj,verifier,remark
154,기후에너지환경부,(주)이수화학,2024,업체,기초 화학물질 제조업,277942.0,5001.0,한국표준협회,
155,기후에너지환경부,(주)이스타항공,2024,업체,항공 여객 운송업,122762.0,1757.0,(재)한국화학융합시험연구원,
156,기후에너지환경부,(주)이알지서비스,2024,사업장,폐기물 처리업,83417.0,60.0,(재)한국화학융합시험연구원,
157,기후에너지환경부,(주)이에스티,2024,사업장,폐기물 처리업,68030.0,11.0,(재)한국품질재단,
158,기후에너지환경부,(주)인터플렉스,2024,사업장,전자 부품 제조업,36807.0,769.0,로이드인증원㈜,
159,산업통상자원부,(주)일강,2024,사업장,자동차,19141.0,393.0,한국표준협회,
160,기후에너지환경부,(주)일진글로벌,2024,사업장,자동차 신품 부품 제조업,122351.0,2549.0,(주)한국경영인증원,
161,기후에너지환경부,(주)전북고속,2024,사업장,육상 여객 운송업,16758.0,238.0,(주)한국경영인증원,
162,농림축산식품부,(주)정·식품,2024,사업장,음료제조업,17976.0,361.0,한국표준협회,
163,국토교통부,(주)제때,2024,사업장,교통(화물),25825.0,463.0,한국표준협회,
164,기후에너지환경부,(주)제양항공해운,2024,사업장,해상 운송업,718.0,10.0,로이드인증원㈜,
165,기후에너지환경부,(주)제이엠씨,2024,사업장,기초 화학물질 제조업,33421.0,736.0,(주)한국경영인증원,
166,산업통상자원부,(주)젤텍,2024,사업장,석유화학,14308.0,487.0,한국표준협회,
167,농림축산식품부,(주)조흥,2024,사업장,식료품 제조업,16363.0,353.0,한국표준협회,
168,산업통상자원부,(주)종근당,2024,사업장,석유화학,19934.0,554.0,(주)한국경영인증원,
169,기후에너지환경부,(주)종근당바이오,2024,사업장,기초 의약 물질 및 생물학적 제제 제조업,92309.0,1937.0,(주)한국경영인증원,
170,기후에너지환경부,(주)중앙고속,2024,사업장,육상 여객 운송업,47642.0,680.0,(주)한국경영인증원,
171,기후에너지환경부,(주)중일,2024,사업장,1차 비철금속 제조업,29361.0,293.0,한국표준협회,
172,기후에너지환경부,(주)지에스동해전력,2024,업체,전기업,2368116.0,26420.0,대일이엔씨기술(주),
173,산업통상자원부,(주)지엠씨,2024,사업장,광업,13954.0,290.0,(재)한국화학융합시험연구원,
174,기후에너지환경부,(주)진합,2024,사업장,자동차 신품 부품 제조업,26316.0,546.0,한국표준협회,
175,산업통상자원부,(주)진흥주물,2024,사업장,철강,30311.0,531.0,한국표준협회,
176,기후에너지환경부,(주)참프레,2024,사업장,"도축, 육류 가공 및 저장 처리업",42987.0,860.0,한국표준협회,
177,기후에너지환경부,(주)창원에너텍,2024,사업장,폐기물 처리업,77277.0,1032.0,(재)한국품질재단,
178,기후에너지환경부,(주)천일고속,2024,사업장,육상 여객 운송업,21368.0,305.0,(주)한국경영인증원,
179,기후에너지환경부,(주)청송산업개발,2024,사업장,폐기물 처리업,71731.0,520.0,(재)한국품질재단,
