no,agency,corp_name,year,designation_type,industry,ghg_tco2eq,energy_tj,verifier,remark
1,환경부,(유)남해환경,2023,사업장,폐기물 처리업,29884.0,196.0,(재)한국품질재단,
2,환경부,(유)남해환경,2023,사업장,폐기물 처리업,29884.0,196.0,(재)한국품질재단,
3,환경부,(유)에스케이씨에보닉페록사이드코리아,2023,사업장,기초 화학물질 제조업,37721.0,773.0,(재)한국품질재단,
4,환경부,(유)청명,2023,사업장,폐기물,19665.0,392.0,㈜한국품질보증원,
5,환경부,(유)청명,2023,사업장,폐기물,19665.0,392.0,㈜한국품질보증원,
6,국토교통부,(유)호남고속,2023,사업장,교통(여객),21201.0,327.0,(주)한국경영인증원,
7,국토교통부,(유)호남고속,2023,사업장,교통(여객),21201.0,327.0,(주)한국경영인증원,
8,국토교통부,(재)우체국물류지원단,2023,사업장,육상운송 및 파이프라인 운송업,18259.0,269.0,(주)한국경영인증원,
9,국토교통부,(재)우체국물류지원단,2023,사업장,육상운송 및 파이프라인 운송업,18259.0,269.0,(주)한국경영인증원,
10,환경부,(주)HJ매그놀리아용평호텔앤리조트,2023,사업장,일반 및 생활 숙박시설 운영업,34421.0,687.0,(재)한국품질재단,
11,환경부,(주)MSC,2023,사업장,기타 식품 제조업,28764.0,578.0,(주)한국경영인증원,
12,환경부,(주)SIMPAC,2023,업체,1차 철강 제조업,232970.0,2524.0,한국표준협회,
13,환경부,(주)SUN&L,2023,사업장,나무제품 제조업,60377.0,2405.0,한국표준협회,
14,환경부,(주)강원랜드,2023,사업장,유원지 및 기타 오락관련 서비스업,79240.0,1598.0,로이드인증원㈜,
15,환경부,(주)건화,2023,사업장,선박 및 보트 건조업,36955.0,668.0,한국표준협회,
16,환경부,(주)경기고속,2023,업체,육상 여객 운송업,119748.0,1903.0,(주)한국경영인증원,
17,환경부,(주)경동,2023,업체,석탄 광업,200831.0,389.0,(재)한국품질재단,
18,산업통상자원부,(주)경동원,2023,사업장,기계,8281.0,163.0,한국표준협회,
19,산업통상자원부,(주)경동원,2023,사업장,기계,8281.0,163.0,한국표준협회,
20,산업통상자원부,(주)경보제약,2023,사업장,석유화학,12824.0,284.0,한국표준협회,
21,산업통상자원부,(주)경보제약,2023,사업장,석유화학,12824.0,284.0,한국표준협회,
22,환경부,(주)경북고속,2023,사업장,육상 여객 운송업,28657.0,406.0,(주)한국경영인증원,
23,산업통상자원부,(주)경신전선,2023,사업장,전기전자,15452.0,320.0,로이드인증원㈜,
24,산업통상자원부,(주)경신전선,2023,사업장,전기전자,15452.0,320.0,로이드인증원㈜,
25,환경부,(주)그린스코,2023,사업장,폐기물 처리업,44371.0,120.0,(주)한국경영인증원,
26,환경부,(주)금남고속,2023,사업장,육상 여객 운송업,22663.0,323.0,(주)한국경영인증원,
27,환경부,(주)금비,2023,사업장,유리 및 유리제품 제조업,82890.0,1160.0,한국표준협회,
28,해양수산부,(주)남해고속,2023,사업장,교통(해운),23780.0,338.0,한국표준협회,
29,해양수산부,(주)남해고속,2023,사업장,교통(해운),23780.0,338.0,한국표준협회,
30,산업통상자원부,(주)네오오토,2023,사업장,자동차,16828.0,348.0,(주)한국경영인증원,
31,산업통상자원부,(주)네오오토,2023,사업장,자동차,16828.0,348.0,(주)한국경영인증원,
32,산업통상자원부,(주)네패스,2023,사업장,반도체,17017.0,351.0,(주)비에스아이그룹코리아,
33,산업통상자원부,(주)네패스,2023,사업장,반도체,17017.0,351.0,(주)비에스아이그룹코리아,
34,산업통상자원부,(주)넥센,2023,사업장,석유화학,17806.0,362.0,한국표준협회,
35,산업통상자원부,(주)넥센,2023,사업장,석유화학,17806.0,362.0,한국표준협회,
36,환경부,(주)농협물류,2023,사업장,도로 화물 운송업,30046.0,434.0,한국표준협회,
37,농림축산식품부,(주)농협사료,2023,업체,식료품 제조업,88898.0,1829.0,(재)한국품질재단,
38,농림축산식품부,(주)농협사료,2023,업체,식료품 제조업,88898.0,1829.0,(재)한국품질재단,
39,환경부,(주)다나에너지솔루션,2023,사업장,폐기물 처리업,61594.0,189.0,(주)한국경영인증원,
40,산업통상자원부,(주)대농,2023,사업장,섬유,9955.0,207.0,지속가능인증원주식회사,
41,산업통상자원부,(주)대농,2023,사업장,섬유,9955.0,207.0,지속가능인증원주식회사,
42,환경부,(주)대동세라믹,2023,사업장,"내화, 비내화 요업제품 제조업",34712.0,624.0,(주)한국경영인증원,
43,환경부,(주)대림제지,2023,사업장,"펄프, 종이 및 판지 제조업",108392.0,1650.0,(재)한국품질재단,
44,산업통상자원부,(주)대양금속,2023,사업장,기계,19503.0,386.0,(재)한국품질재단,
45,산업통상자원부,(주)대양금속,2023,사업장,기계,19503.0,386.0,(재)한국품질재단,
46,국토교통부,(주)대우건설,2023,업체,건설,58077.0,1200.0,한국표준협회,
47,국토교통부,(주)대우건설,2023,업체,건설,58077.0,1200.0,한국표준협회,
48,산업통상자원부,(주)대욱케스트,2023,사업장,철강,15631.0,290.0,(주)한국경영인증원,
49,산업통상자원부,(주)대욱케스트,2023,사업장,철강,15631.0,290.0,(주)한국경영인증원,
50,환경부,(주)대원고속,2023,업체,육상 여객 운송업,121483.0,1955.0,(주)한국경영인증원,
51,환경부,(주)대원농산,2023,사업장,폐기물,20377.0,132.0,㈜한국품질보증원,
52,환경부,(주)대원농산,2023,사업장,폐기물,20377.0,132.0,㈜한국품질보증원,
53,환경부,(주)대원버스,2023,사업장,육상 여객 운송업,33931.0,580.0,(주)한국경영인증원,
54,국토교통부,(주)대원여객,2023,사업장,교통(여객),16542.0,317.0,(주)한국경영인증원,
55,국토교통부,(주)대원여객,2023,사업장,교통(여객),16542.0,317.0,(주)한국경영인증원,
56,환경부,(주)대원운수,2023,사업장,육상 여객 운송업,35334.0,589.0,(주)한국경영인증원,
57,환경부,(주)대유코아,2023,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",111888.0,781.0,로이드인증원㈜,
58,산업통상자원부,(주)대천텍스타일,2023,사업장,섬유,16178.0,242.0,한국표준협회,
59,산업통상자원부,(주)대천텍스타일,2023,사업장,섬유,16178.0,242.0,한국표준협회,
60,산업통상자원부,(주)대호특수강,2023,사업장,철강,38145.0,763.0,로이드인증원㈜,
61,산업통상자원부,(주)대호특수강,2023,사업장,철강,38145.0,763.0,로이드인증원㈜,
62,환경부,(주)대화제지,2023,사업장,"펄프, 종이 및 판지 제조업",349.0,6.0,㈜한국품질보증원,
63,산업통상자원부,(주)동광화학,2023,사업장,석유화학,23472.0,484.0,(주)한국경영인증원,
64,산업통상자원부,(주)동광화학,2023,사업장,석유화학,23472.0,484.0,(주)한국경영인증원,
65,환경부,(주)동남,2023,사업장,1차 비철금속 제조업,56406.0,878.0,한국표준협회,
66,환경부,(주)동방,2023,사업장,도로 화물 운송업,59299.0,866.0,대일이엔씨기술(주),
67,환경부,(주)동서기공,2023,사업장,자동차 신품 부품 제조업,46531.0,961.0,(주)한국경영인증원,
