company_name,reporting_year,data_provider,jurisdiction,sics_sector,total_s1_emissions_ghg,company_url
JAPAN PULP AND PAPER COMPANY LIMITED,2023,CDP,Japan,Consumer Goods,"82,269 tCO₂e",https://nzdpu.com/companies/21136?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"JK Holdings Co., Ltd.",2023,CDP,Japan,Consumer Goods,"11,661 tCO₂e",https://nzdpu.com/companies/24528?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Joshin Denki Co.,Ltd.",2023,CDP,Japan,Consumer Goods,"3,282 tCO₂e",https://nzdpu.com/companies/18207?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Kibun Foods Inc.,2023,CDP,Japan,Food & Beverage,"19,841 tCO₂e",https://nzdpu.com/companies/21328?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Kikkoman Corporation,2023,CDP,Japan,Food & Beverage,"105,145 tCO₂e",https://nzdpu.com/companies/12784?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Kojima Co.,Ltd.",2023,CDP,Japan,Consumer Goods,"1,555 tCO₂e",https://nzdpu.com/companies/21213?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"KOMATSU WALL INDUSTRY CO.,LTD.",2023,CDP,Japan,Consumer Goods,"3,603 tCO₂e",https://nzdpu.com/companies/21214?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"KOMEDA Holdings Co.,Ltd.",2023,CDP,Japan,Food & Beverage,"2,963 tCO₂e",https://nzdpu.com/companies/21215?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Kyokuyo Co Ltd - 1301 JP,2023,CDP,Japan,Food & Beverage,"4,129.5 tCO₂e",https://nzdpu.com/companies/18283?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Lawson, Inc.",2023,CDP,Japan,Food & Beverage,"4,453 tCO₂e",https://nzdpu.com/companies/18300?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
LIFE CORPORATION,2023,CDP,Japan,Food & Beverage,"12,627 tCO₂e",https://nzdpu.com/companies/19380?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
LIXIL Corporation,2023,CDP,Japan,Consumer Goods,"452,386 tCO₂e",https://nzdpu.com/companies/12905?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
MAKITA CORPORATION,2023,CDP,Japan,Consumer Goods,"21,401.08 tCO₂e",https://nzdpu.com/companies/19382?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
