company_name,reporting_year,data_provider,jurisdiction,sics_sector,total_s2_lb_emissions_ghg,total_s2_mb_emissions_ghg,company_url
Itoham Yonekyu Holdings,2023,CDP,Japan,Food & Beverage,"162,256 tCO₂e","160,313 tCO₂e",https://nzdpu.com/companies/18166?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"J-OIL MILLS, INC.",2023,CDP,Japan,Food & Beverage,"50,620 tCO₂e","27,540 tCO₂e",https://nzdpu.com/companies/23315?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"J. Front Retailing Co., Ltd.",2023,CDP,Japan,Consumer Goods,"146,810 tCO₂e","96,071 tCO₂e",https://nzdpu.com/companies/12698?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
JAPAN PULP AND PAPER COMPANY LIMITED,2023,CDP,Japan,Consumer Goods,"139,567 tCO₂e","134,547 tCO₂e",https://nzdpu.com/companies/21136?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"JK Holdings Co., Ltd.",2023,CDP,Japan,Consumer Goods,"12,632 tCO₂e","13,890 tCO₂e",https://nzdpu.com/companies/24528?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Joshin Denki Co.,Ltd.",2023,CDP,Japan,Consumer Goods,"41,205 tCO₂e","15,621 tCO₂e",https://nzdpu.com/companies/18207?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Kibun Foods Inc.,2023,CDP,Japan,Food & Beverage,,"27,014 tCO₂e",https://nzdpu.com/companies/21328?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Kikkoman Corporation,2023,CDP,Japan,Food & Beverage,"113,749 tCO₂e","57,908 tCO₂e",https://nzdpu.com/companies/12784?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Kojima Co.,Ltd.",2023,CDP,Japan,Consumer Goods,"33,279 tCO₂e","31,824 tCO₂e",https://nzdpu.com/companies/21213?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"KOMATSU WALL INDUSTRY CO.,LTD.",2023,CDP,Japan,Consumer Goods,"3,020 tCO₂e","3,184 tCO₂e",https://nzdpu.com/companies/21214?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"KOMEDA Holdings Co.,Ltd.",2023,CDP,Japan,Food & Beverage,,"4,416 tCO₂e",https://nzdpu.com/companies/21215?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Kyokuyo Co Ltd - 1301 JP,2023,CDP,Japan,Food & Beverage,,"16,300.9 tCO₂e",https://nzdpu.com/companies/18283?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Lawson, Inc.",2023,CDP,Japan,Food & Beverage,"959,971 tCO₂e","896,750 tCO₂e",https://nzdpu.com/companies/18300?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
LIFE CORPORATION,2023,CDP,Japan,Food & Beverage,"183,629 tCO₂e","195,520 tCO₂e",https://nzdpu.com/companies/19380?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
LIXIL Corporation,2023,CDP,Japan,Consumer Goods,"511,413 tCO₂e","341,459 tCO₂e",https://nzdpu.com/companies/12905?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
MAKITA CORPORATION,2023,CDP,Japan,Consumer Goods,"45,981.36 tCO₂e","44,132.39 tCO₂e",https://nzdpu.com/companies/19382?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Marubeni Corporation,2023,CDP,Japan,Consumer Goods,"278,314 tCO₂e","221,821 tCO₂e",https://nzdpu.com/companies/23042?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Maruha Nichiro Corporation,2023,CDP,Japan,Food & Beverage,"121,078.901 tCO₂e","144,990.886 tCO₂e",https://nzdpu.com/companies/19942?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"MEGMILK SNOW BRAND Co.,Ltd.",2023,CDP,Japan,Food & Beverage,"100,503 tCO₂e","100,721 tCO₂e",https://nzdpu.com/companies/12986?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Meiji Holdings Co.Ltd.,2023,CDP,Japan,Food & Beverage,"312,548 tCO₂e","285,101 tCO₂e",https://nzdpu.com/companies/12989?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Morinaga & Company Ltd,2023,CDP,Japan,Food & Beverage,"60,300.45 tCO₂e","60,795.04 tCO₂e",https://nzdpu.com/companies/14988?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Morinaga Milk Industry Co., Ltd.",2023,CDP,Japan,Food & Beverage,"78,969 tCO₂e","88,622 tCO₂e",https://nzdpu.com/companies/14989?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Nagatanienholdings Co.,Ltd.",2023,CDP,Japan,Food & Beverage,"14,448 tCO₂e","14,624 tCO₂e",https://nzdpu.com/companies/24543?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"NAKABAYASHI.CO,.LTD",2023,CDP,Japan,Consumer Goods,"12,274 tCO₂e","12,200 tCO₂e",https://nzdpu.com/companies/21334?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
NH Foods Ltd.,2023,CDP,Japan,Food & Beverage,"332,000 tCO₂e","322,000 tCO₂e",https://nzdpu.com/companies/13124?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"NICHIMO CO.,LTD.",2023,CDP,Japan,Food & Beverage,,,https://nzdpu.com/companies/24613?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Niitaka Co.,Ltd.",2023,CDP,Japan,Consumer Goods,,675 tCO₂e,https://nzdpu.com/companies/24548?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
NIPPN CORPORATION,2023,CDP,Japan,Food & Beverage,"116,310 tCO₂e",,https://nzdpu.com/companies/21233?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Nippon Suisan Kaisha, Ltd.",2023,CDP,Japan,Food & Beverage,"124,218.23 tCO₂e","118,939.84 tCO₂e",https://nzdpu.com/companies/19940?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Nisshin Seifun Group Inc.,2023,CDP,Japan,Food & Beverage,"280,015 tCO₂e","271,858 tCO₂e",https://nzdpu.com/companies/15047?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Nitori Holdings Co., Ltd.",2023,CDP,Japan,Consumer Goods,,"194,085 tCO₂e",https://nzdpu.com/companies/23058?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"NITTO BOSEKI CO.,LTD.",2023,CDP,Japan,Consumer Goods,"146,000 tCO₂e","151,000 tCO₂e",https://nzdpu.com/companies/23248?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
OKAMURA CORPORATION,2023,CDP,Japan,Consumer Goods,"26,148.3 tCO₂e","16,931.72 tCO₂e",https://nzdpu.com/companies/18548?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Okuwa Co Ltd,2023,CDP,Japan,Food & Beverage,"110,007 tCO₂e","94,956 tCO₂e",https://nzdpu.com/companies/24474?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"RHYTHM CO.,LTD.",2023,CDP,Japan,Consumer Goods,"27,581.915 tCO₂e","28,389.764 tCO₂e",https://nzdpu.com/companies/21346?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
S.T. CORPORATION,2023,CDP,Japan,Consumer Goods,"2,965 tCO₂e","2,097 tCO₂e",https://nzdpu.com/companies/21147?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Sagami Holdings Corporation,2023,CDP,Japan,Food & Beverage,"14,061.7 tCO₂e","12,677.1 tCO₂e",https://nzdpu.com/companies/21260?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Sanwa Holdings Corporation,2023,CDP,Japan,Consumer Goods,,"11,988 tCO₂e",https://nzdpu.com/companies/16778?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
SB Technology Corp.,2023,CDP,Japan,Consumer Goods,"1,390.52 tCO₂e",316.01 tCO₂e,https://nzdpu.com/companies/21266?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Seiko Group Corporation,2023,CDP,Japan,Consumer Goods,"99,788 tCO₂e","88,434 tCO₂e",https://nzdpu.com/companies/21267?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"SEIREN CO.,LTD.",2023,CDP,Japan,Consumer Goods,"112,576 tCO₂e",,https://nzdpu.com/companies/19804?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
SHIKIBO LTD.,2023,CDP,Japan,Consumer Goods,"37,291 tCO₂e",,https://nzdpu.com/companies/21348?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Shimamura Co., Ltd.",2023,CDP,Japan,Consumer Goods,"96,170 tCO₂e","46,329 tCO₂e",https://nzdpu.com/companies/19443?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Sojitz Corporation,2023,CDP,Japan,Food & Beverage,"206,807 tCO₂e",,https://nzdpu.com/companies/13612?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
SPK Corporation,2023,CDP,Japan,Consumer Goods,592 tCO₂e,602 tCO₂e,https://nzdpu.com/companies/21275?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Starzen Co Ltd,2023,CDP,Japan,Food & Beverage,"34,234 tCO₂e","32,261 tCO₂e",https://nzdpu.com/companies/18947?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Sumitomo Corporation,2023,CDP,Japan,Consumer Goods,"554,818 tCO₂e","553,487 tCO₂e",https://nzdpu.com/companies/15335?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"TAKACHIHO KOHEKI CO.,LTD.",2023,CDP,Japan,Consumer Goods,115 tCO₂e,,https://nzdpu.com/companies/21352?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
TAKARA HOLDINGS INC.,2023,CDP,Japan,Food & Beverage,"17,882 tCO₂e",,https://nzdpu.com/companies/23087?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Takashimaya Company, Limited",2023,CDP,Japan,Consumer Goods,"188,091 tCO₂e","179,167 tCO₂e",https://nzdpu.com/companies/15386?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"The Nisshin OilliO Group,Ltd.",2023,CDP,Japan,Food & Beverage,"15,773 tCO₂e","12,647 tCO₂e",https://nzdpu.com/companies/17005?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"TOKYO BASE Co.,Ltd.",2023,CDP,Japan,Consumer Goods,72 tCO₂e,72 tCO₂e,https://nzdpu.com/companies/21291?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
TOLI Corporation,2023,CDP,Japan,Consumer Goods,"21,588.75 tCO₂e","18,215.29 tCO₂e",https://nzdpu.com/companies/24621?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Toto Ltd.,2023,CDP,Japan,Consumer Goods,"230,190 tCO₂e","99,365 tCO₂e",https://nzdpu.com/companies/13849?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Toyo Suisan Kaisha, Ltd.",2023,CDP,Japan,Food & Beverage,"122,191 tCO₂e","145,683 tCO₂e",https://nzdpu.com/companies/19089?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Toyobo Co., Ltd.",2023,CDP,Japan,Consumer Goods,"181,912 tCO₂e","181,512 tCO₂e",https://nzdpu.com/companies/13856?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
United Arrows Ltd,2023,CDP,Japan,Consumer Goods,"8,431 tCO₂e","7,743 tCO₂e",https://nzdpu.com/companies/23389?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"YAKULT HONSHA CO., LTD.",2023,CDP,Japan,Food & Beverage,"43,165.7 tCO₂e","8,148.7 tCO₂e",https://nzdpu.com/companies/15575?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Yamaha Corp.,2023,CDP,Japan,Consumer Goods,"140,305.5 tCO₂e","128,208.5 tCO₂e",https://nzdpu.com/companies/14067?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
YAMATANE CORPORATION,2023,CDP,Japan,Food & Beverage,"9,894 tCO₂e","10,400 tCO₂e",https://nzdpu.com/companies/24595?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
YONDOSHI HOLDINGS INC.,2023,CDP,Japan,Consumer Goods,"1,836.9 tCO₂e","1,688.1 tCO₂e",https://nzdpu.com/companies/19761?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
